,name,h5_index,h5_median,url_citations,comment
37,Scientific Reports,210,272,/citations?hl=en&vq=en&view_op=list_hcore&venue=tEL7frEn2VoJ.2023,
38,Circulation,206,313,/citations?hl=en&vq=en&view_op=list_hcore&venue=wTjLJ-HBjrYJ.2023,
39,Chemical engineering journal,206,258,/citations?hl=en&vq=en&view_op=list_hcore&venue=NDSEyFw9R_kJ.2023,
40,Energy & Environmental Science,205,308,/citations?hl=en&vq=en&view_op=list_hcore&venue=SBb1EorUeGIJ.2023,
41,Applied Catalysis B: Environmental,205,267,/citations?hl=en&vq=en&view_op=list_hcore&venue=c9uks1oR5n4J.2023,
42,International Journal of Environmental Research and Public Health,201,280,/citations?hl=en&vq=en&view_op=list_hcore&venue=kEa56xlDDN8J.2023,
43,The Lancet Oncology,198,344,/citations?hl=en&vq=en&view_op=list_hcore&venue=xO04yUCWFMsJ.2023,
44,Journal of the American College of Cardiology,193,305,/citations?hl=en&vq=en&view_op=list_hcore&venue=xYLghxaa8FcJ.2023,
45,Meeting of the Association for Computational Linguistics (ACL),192,329,/citations?hl=en&vq=en&view_op=list_hcore&venue=Y3UjV9bSCxMJ.2023,
46,Nutrients,189,271,/citations?hl=en&vq=en&view_op=list_hcore&venue=yfc83oKvDvIJ.2023,
47,Nature Genetics,188,305,/citations?hl=en&vq=en&view_op=list_hcore&venue=3p71nYTXsNMJ.2023,
48,Morbidity and Mortality Weekly Report,186,335,/citations?hl=en&vq=en&view_op=list_hcore&venue=pMbx1O4DEmYJ.2023,
49,Applied Energy,186,237,/citations?hl=en&vq=en&view_op=list_hcore&venue=YEgmRIvqc-sJ.2023,
50,Nature Biotechnology,185,332,/citations?hl=en&vq=en&view_op=list_hcore&venue=d4fTNLVMoAsJ.2023,
51,Sustainability,185,238,/citations?hl=en&vq=en&view_op=list_hcore&venue=-5TP9eKrqvEJ.2023,
52,Nano Energy,184,236,/citations?hl=en&vq=en&view_op=list_hcore&venue=VnRGJcx2SzEJ.2023,
53,Joule,183,276,/citations?hl=en&vq=en&view_op=list_hcore&venue=jCO4Z2fB5dsJ.2023,
54,Journal of Materials Chemistry A,183,225,/citations?hl=en&vq=en&view_op=list_hcore&venue=BteXzRNhMa4J.2023,
55,Nature Materials,180,302,/citations?hl=en&vq=en&view_op=list_hcore&venue=NueHEC17BmwJ.2023,
56,IEEE Transactions on Pattern Analysis and Machine Intelligence,179,318,/citations?hl=en&vq=en&view_op=list_hcore&venue=FMIcylNwodUJ.2023,
57,ACS Applied Materials & Interfaces,179,217,/citations?hl=en&vq=en&view_op=list_hcore&venue=AWVyEJdRWZAJ.2023,
58,Nature Energy,177,378,/citations?hl=en&vq=en&view_op=list_hcore&venue=cfU9-VnFg7MJ.2023,
59,ACS Catalysis,177,237,/citations?hl=en&vq=en&view_op=list_hcore&venue=HY38J6diLbEJ.2023,
60,The Lancet Infectious Diseases,176,339,/citations?hl=en&vq=en&view_op=list_hcore&venue=Cw6YFRBewwIJ.2023,
61,Conference on Empirical Methods in Natural Language Processing (EMNLP),176,302,/citations?hl=en&vq=en&view_op=list_hcore&venue=LqrQjvOguiMJ.2023,
62,Journal of Business Research,173,265,/citations?hl=en&vq=en&view_op=list_hcore&venue=r_ClXCa7Zg8J.2023,
63,Gastroenterology,172,268,/citations?hl=en&vq=en&view_op=list_hcore&venue=coh_9l_eLP4J.2023,
64,European Heart Journal,171,283,/citations?hl=en&vq=en&view_op=list_hcore&venue=nzv6ligyWB4J.2023,
65,IEEE Internet of Things Journal,171,250,/citations?hl=en&vq=en&view_op=list_hcore&venue=9oNLl9DgMnQJ.2023,
66,Nature Nanotechnology,170,292,/citations?hl=en&vq=en&view_op=list_hcore&venue=nGsYFxF7AIcJ.2023,
67,Environmental Pollution,170,235,/citations?hl=en&vq=en&view_op=list_hcore&venue=Hfdvd0qCGFkJ.2023,
68,The Astrophysical Journal,169,234,/citations?hl=en&vq=en&view_op=list_hcore&venue=kLu-gHHm-yoJ.2023,
69,Environmental Science & Technology,169,224,/citations?hl=en&vq=en&view_op=list_hcore&venue=-AYGASySECUJ.2023,
70,Frontiers in Psychology,169,223,/citations?hl=en&vq=en&view_op=list_hcore&venue=1zT32au_GMUJ.2023,
71,Immunity,168,260,/citations?hl=en&vq=en&view_op=list_hcore&venue=Psc9Ho3-rx8J.2023,
72,Sensors,168,218,/citations?hl=en&vq=en&view_op=list_hcore&venue=KJTg4Mmu7pUJ.2023,
73,Annals of Oncology,166,274,/citations?hl=en&vq=en&view_op=list_hcore&venue=YKYgGM0Tw8gJ.2023,
74,ACS Energy Letters,166,231,/citations?hl=en&vq=en&view_op=list_hcore&venue=ov9mJjzpAbkJ.2023,
75,Journal of Hazardous Materials,166,214,/citations?hl=en&vq=en&view_op=list_hcore&venue=9sCULe-0FCQJ.2023,
76,IEEE Communications Surveys & Tutorials,164,311,/citations?hl=en&vq=en&view_op=list_hcore&venue=rH0u9gfK8u8J.2023,
77,Nature Neuroscience,164,264,/citations?hl=en&vq=en&view_op=list_hcore&venue=XZq8YKj5AB8J.2023,
78,Gut,164,258,/citations?hl=en&vq=en&view_op=list_hcore&venue=8boGrBcAQRIJ.2023,
79,Molecular Cancer,164,244,/citations?hl=en&vq=en&view_op=list_hcore&venue=u98KWqnAzy8J.2023,
80,Molecules,164,228,/citations?hl=en&vq=en&view_op=list_hcore&venue=a44LC9wR_iYJ.2023,
81,Small,164,219,/citations?hl=en&vq=en&view_op=list_hcore&venue=TdhLrHqKTh8J.2023,
82,Clinical Infectious Diseases,163,310,/citations?hl=en&vq=en&view_op=list_hcore&venue=fBR8hym4NqEJ.2023,
83,Nature Methods,163,289,/citations?hl=en&vq=en&view_op=list_hcore&venue=Qq1AZ4GL_n8J.2023,
84,Accounts of Chemical Research,163,231,/citations?hl=en&vq=en&view_op=list_hcore&venue=5u1VVK3q13gJ.2023,
85,IEEE Transactions on Industrial Informatics,162,206,/citations?hl=en&vq=en&view_op=list_hcore&venue=Cqzw4ppJN-MJ.2023,
86,Physical Review D,161,212,/citations?hl=en&vq=en&view_op=list_hcore&venue=BDbZY07nj-oJ.2023,
87,Bioresource Technology,161,207,/citations?hl=en&vq=en&view_op=list_hcore&venue=JeYzXj7cKAQJ.2023,
88,American Economic Review,160,258,/citations?hl=en&vq=en&view_op=list_hcore&venue=JdmuJJQqBKkJ.2023,
89,Cell Metabolism,160,232,/citations?hl=en&vq=en&view_op=list_hcore&venue=zMrP9W20roUJ.2023,
90,Monthly Notices of the Royal Astronomical Society,160,212,/citations?hl=en&vq=en&view_op=list_hcore&venue=1psIsUvUvtgJ.2023,
91,Chemosphere,160,209,/citations?hl=en&vq=en&view_op=list_hcore&venue=CGM8-w3c9J8J.2023,
92,Blood,158,232,/citations?hl=en&vq=en&view_op=list_hcore&venue=MQG5QwakzOcJ.2023,
93,Cell Reports,158,212,/citations?hl=en&vq=en&view_op=list_hcore&venue=u0OhSowAd3cJ.2023,
94,Nano Letters,158,203,/citations?hl=en&vq=en&view_op=list_hcore&venue=N-tBBiwlGDsJ.2023,
95,Advanced Science,158,202,/citations?hl=en&vq=en&view_op=list_hcore&venue=LslhxASCPXYJ.2023,
96,Journal of High Energy Physics,158,202,/citations?hl=en&vq=en&view_op=list_hcore&venue=YsyE7AUs20UJ.2023,
97,Nature Reviews Immunology,157,328,/citations?hl=en&vq=en&view_op=list_hcore&venue=JAoASYWHSYEJ.2023,
98,Technological Forecasting and Social Change,157,243,/citations?hl=en&vq=en&view_op=list_hcore&venue=l8HuzglhziQJ.2023,
99,Frontiers in Microbiology,155,252,/citations?hl=en&vq=en&view_op=list_hcore&venue=Ok3gP5VjmVIJ.2023,
100,Water Research,155,210,/citations?hl=en&vq=en&view_op=list_hcore&venue=enMZMDSVb-UJ.2023,
